Informe Resumido;;;
Tipo : Acciones;;;
Pais: EEUU;;;
Fecha de creación : 28/1/2022;;;
;;;
Nombre;Ref.;Recomendación;URL
Galaxy Entertainment Group Ltd ADR;GXYYY;Vender;https://es.investing.com/equities/galaxy-entertainment-adr
UCB SA ADR;UCBJY;Comprar;https://es.investing.com/equities/ucb-sa
JB Hunt Transport Services Inc;JBHT;Comprar;https://es.investing.com/equities/j.b.-hunt-transpo
Shionogi & Co Ltd ADR;SGIOY;Vender;https://es.investing.com/equities/shionogi-adr
Henderson Land Development;HLDCY;Vender;https://es.investing.com/equities/henderson-land-development
Carnival Plc ADS;CUK;Vender;https://es.investing.com/equities/carnival-plc-ads
Advanced Info Service Public;AVIFY;Vender;https://es.investing.com/equities/advanced-info-service-public
MGM Resorts International;MGM;Comprar;https://es.investing.com/equities/mgm-mirage
Brown & Brown Inc;BRO;Vender;https://es.investing.com/equities/brown---brown-inc
China Longyuan Power Group Corp Ltd ADR;CLPXY;Vender;https://es.investing.com/equities/china-longyuan-power-adr
Wheaton Precious Metals Corp;WPM;Vender;https://es.investing.com/equities/silver-wheaton-corp
Caesars Entertainment Corporation;CZR;Comprar;https://es.investing.com/equities/caesars-entertainment-corp
OMV AG PK;OMVKY;Comprar;https://es.investing.com/equities/omv-ag-pk
Ubiquiti Networks Inc;UI;Vender;https://es.investing.com/equities/ubiquiti-networks
Bio-Techne Corp;TECH;Vender;https://es.investing.com/equities/techne-corp
Molina Healthcare Inc;MOH;Comprar;https://es.investing.com/equities/molina-healthcare-inc
Ryanair Holdings PLC ADR;RYAAY;Vender;https://es.investing.com/equities/ryanair-hldgs
Royal Caribbean Cruises Ltd;RCL;Vender;https://es.investing.com/equities/royal-caribbean
Plug Power Inc;PLUG;Vender;https://es.investing.com/equities/plug-power
Olaplex Holdings Inc;OLPX;Vender;https://es.investing.com/equities/olaplex-holdings
The AES Corporation;AES;Comprar;https://es.investing.com/equities/aes-corp
Sociedad Quimica y Minera de Chile SA ADR B;SQM;Vender;https://es.investing.com/equities/soc-quimica-adr
Confluent Inc;CFLT;Vender;https://es.investing.com/equities/confluent
Terna Rete Elettrica Nazionale;TEZNY;Vender;https://es.investing.com/equities/terna-rete-elettrica-nazionale
Continental Resources Inc;CLR;Comprar;https://es.investing.com/equities/continental-resources-inc
MarketAxess Holdings Inc;MKTX;Vender;https://es.investing.com/equities/marketaxess-holdi
Kikkoman Corp ADR;KIKOY;Vender;https://es.investing.com/equities/kikkoman-adr
Nippon Steel Corp ADR;NPSCY;Comprar;https://es.investing.com/equities/nippon-steel---sumitomo-metal
10X Genomics Inc;TXG;Vender;https://es.investing.com/equities/10x-genomics-inc
Masimo Corporation;MASI;Comprar;https://es.investing.com/equities/masimo-corp
Trex Company Inc;TREX;Vender;https://es.investing.com/equities/trex-co.-inc
Tatneft ADR;OAOFY;Comprar;https://es.investing.com/equities/tatneft
NortonLifeLock Inc;NLOK;Comprar;https://es.investing.com/equities/symantec-corp
Iron Mountain Incorporated;IRM;Comprar;https://es.investing.com/equities/iron-mountain-inc
Repligen Corporation;RGEN;Vender;https://es.investing.com/equities/repligen-corp
Teladoc Inc;TDOC;Comprar;https://es.investing.com/equities/teladoc-inc
CH Robinson Worldwide Inc;CHRW;Comprar;https://es.investing.com/equities/c-h-robinson-worldwide-inc
Power Assets Holdings Ltd;HGKGY;Vender;https://es.investing.com/equities/power-assets-holdings-ltd
United Airlines Holdings Inc;UAL;Comprar;https://es.investing.com/equities/united-continenta
SentinelOne Inc;S;Vender;https://es.investing.com/equities/sentinelone
Inpex Corp ADR;IPXHY;Vender;https://es.investing.com/equities/inpex-corp
Leidos Holdings Inc;LDOS;Comprar;https://es.investing.com/equities/leidos-holdings
Steel Dynamics Inc;STLD;Comprar;https://es.investing.com/equities/steel-dynamics
Jack Henry & Associates Inc;JKHY;Comprar;https://es.investing.com/equities/jack-henry---asso
Admiral Group PLC ADR;AMIGY;Vender;https://es.investing.com/equities/admiral-group-plc
Rexford Inl Rty;REXR;Vender;https://es.investing.com/equities/rexford-inl-rty
Pentair PLC;PNR;Comprar;https://es.investing.com/equities/pentair
Westlake Chemical Corporation;WLK;Comprar;https://es.investing.com/equities/westlake-chemical
Red Electrica Corporacion SA ADR;RDEIY;Vender;https://es.investing.com/equities/red-electrica-corporacion-sa
Upstart Holdings Inc;UPST;Vender;https://es.investing.com/equities/upstart-holdings-inc
SoFi Technologies Inc.;SOFI;Vender;https://es.investing.com/equities/social-capital-hedosophia-v
Japan Exchange Group Inc ADR;JPXGY;Vender;https://es.investing.com/equities/japan-exchange-adr
Hubbell Inc;HUBB;Comprar;https://es.investing.com/equities/hubbell-inc-b
Regal Beloit Corporation;RRX;Comprar;https://es.investing.com/equities/regal-beloit-corp
Chandra Asri Petrochemical Tbk PT ADR;PTCAY;Vender;https://es.investing.com/equities/chandra-asri-adr
Edenred Malakoff ADR;EDNMY;Vender;https://es.investing.com/equities/edenred-malakoff-adr
Booz Allen Hamilton Holding;BAH;Comprar;https://es.investing.com/equities/booz-allen-hamilton-holding-corp
East West Bancorp Inc;EWBC;Vender;https://es.investing.com/equities/east-west-bancorp
Full Truck Alliance Co Ltd ADR;YMM;Vender;https://es.investing.com/equities/full-truck-alliance-co-adr
Sumitomo Metal Mining Co Ltd ADR;SMMYY;Vender;https://es.investing.com/equities/sumitomo-metal-mining-co-ltd
Western Alliance Bancorporation;WAL;Vender;https://es.investing.com/equities/western-alliance-bancorp
Western Alliance Bancorp;WALA;Vender;https://es.investing.com/equities/western-alliance-bancorp-pref
American Airlines Group;AAL;Comprar;https://es.investing.com/equities/american-airlines-group
Cleveland-Cliffs Inc;CLF;Comprar;https://es.investing.com/equities/cleveland-cliffs
HKT Trust ADR;HKTTY;Vender;https://es.investing.com/equities/hkt-adr
Arkema SA ADR;ARKAY;Comprar;https://es.investing.com/equities/arkema-pk
Ryan Specialty Group Holdings Inc;RYAN;Vender;https://es.investing.com/equities/ryan-specialty-group-holdings
Guardant Health Inc;GH;Vender;https://es.investing.com/equities/guardant-health
Reliance Steel & Aluminum Co;RS;Comprar;https://es.investing.com/equities/reliance-steel---aluminum-co.
Informa PLC ADR;IFJPY;Vender;https://es.investing.com/equities/informa-plc
Knight Transportation Inc;KNX;Comprar;https://es.investing.com/equities/knight-transportation-inc
Mediobanca Banca di Credito Finanziario SpA ADR;MDIBY;Vender;https://es.investing.com/equities/mediobanca-adr
Umicore SA ADR;UMICY;Comprar;https://es.investing.com/equities/umicore-adr
Texas Pacific Land Trust;TPL;Vender;https://es.investing.com/equities/texas-pacific-land-trust
Manhattan Associates Inc;MANH;Comprar;https://es.investing.com/equities/manhattan-associa
Kingfisher PLC ADR;KGFHY;Comprar;https://es.investing.com/equities/kingfisher-plc
Jabil Circuit Inc;JBL;Comprar;https://es.investing.com/equities/jabil-circuit
Monotaro Co Ltd;MONOY;Vender;https://es.investing.com/equities/monotaro-co-ltd
PTT Global Chemical PCL ADR;PCHUY;Comprar;https://es.investing.com/equities/ptt-global-adr
Hang Lung Properties Ltd;HLPPY;Vender;https://es.investing.com/equities/hang-lung-properties-ltd
OncBioMune Pharmaceuticals Inc;OBMP;Vender;https://es.investing.com/equities/quint-media-inc.
