Informe de Errores;;;;
Tipo : Acciones;;;;
Pais : EEUU;;;;
Fecha de creación: 28/1/2022;;;;
;;;;
Nombre;Ref.;URL;Mensaje
Industrial and Commercial Bank of China Ltd ;IDCBF ;https://es.investing.com/equities/icbc?cid=52484 ;Error al cargar la pagina
Hermes International SCA ;HESAF ;https://es.investing.com/equities/hermes-international?cid=941932 ;Error al cargar la pagina
Novartis AG ;NVSEF ;https://es.investing.com/equities/novartis?cid=53040 ;Error al cargar la pagina
Meituan Dianping ;MPNGF ;https://es.investing.com/equities/meituan-dianping?cid=1152798 ;Error al cargar la pagina
AstraZeneca PLC ;AZNCF ;https://es.investing.com/equities/astrazeneca?cid=53026 ;Error al cargar la pagina
Royal Dutch Shell PLC Class A ;RYDAF ;https://es.investing.com/equities/royal-dutch-shell-a-shr?cid=52995 ;Error al cargar la pagina
SAP SE ;SAPGF ;https://es.investing.com/equities/sap-ag?cid=53037 ;Error al cargar la pagina
Agricultural Bank of China PK ;ACGBY ;https://es.investing.com/equities/agricultural-bank-of-china-pk ;TypeError: Cannot read property 'date' of undefined
Agricultural Bank of China Ltd ;ACGBF ;https://es.investing.com/equities/agricultural-bank-of-china?cid=38111 ;Error al cargar la pagina
Volkswagen AG ;VLKAF ;https://es.investing.com/equities/volkswagen-ag?cid=1173847 ;Error al cargar la pagina
Keyence Corp ;KYCCF ;https://es.investing.com/equities/keyence?cid=53060 ;Error al cargar la pagina
Sony Corp ;SNEJF ;https://es.investing.com/equities/sony-corp.?cid=52928 ;Error al cargar la pagina
BHP Billiton Ltd ;BHPLF ;https://es.investing.com/equities/bhp-billiton-limited?cid=52990 ;Error al cargar la pagina
Commerzbank AG PK ;CRZBY ;https://es.investing.com/equities/commerzbank-ag-pk ;TypeError: Cannot read property 'date' of undefined
Royal Bank of Canada ;RY ;https://es.investing.com/equities/royal-bank-of-canada-rbc ;TypeError: Cannot read property 'date' of undefined
Christian Dior SE ;CHDRF ;https://es.investing.com/equities/christian-dior?cid=53054 ;Error al cargar la pagina
Toronto Dominion Bank ;TD ;https://es.investing.com/equities/toronto-dominion-bank?cid=20605 ;TypeError: Cannot read property 'date' of undefined
Total SA ;TTFNF ;https://es.investing.com/equities/total?cid=51154 ;Error al cargar la pagina
Ping An Insurance Group Co of China Ltd ;PIAIF ;https://es.investing.com/equities/ping-an?cid=1177701 ;Error al cargar la pagina
BYD Co Ltd ;BYDDF ;https://es.investing.com/equities/byd-co.?cid=52805 ;Error al cargar la pagina
Commonwealth Bank of Australia PK ;CMWAY ;https://es.investing.com/equities/commonwealth-bank-of-australia-pk ;TypeError: Cannot read property 'date' of undefined
AIA Group Ltd ;AAIGF ;https://es.investing.com/equities/aia-group?cid=38071 ;Error al cargar la pagina
Citigroup Inc ;C ;https://es.investing.com/equities/citigroup ;TypeError: Cannot read property 'date' of undefined
Citigroup Inc Pk ADR ;C_pk ;https://es.investing.com/equities/citigroup-inc-pk-adr ;TypeError: Cannot read property 'date' of undefined
Citigroup Inc Pj ADR ;C_pj ;https://es.investing.com/equities/citigroup-inc-pj-adr ;TypeError: Cannot read property 'date' of undefined
HSBC Holdings PLC ADR ;HSBC ;https://es.investing.com/equities/hsbc-holdings-plc ;TypeError: Cannot read property 'date' of undefined
HSBC Holdings PLC ;HBCYF ;https://es.investing.com/equities/hsbc-holdings?cid=52885 ;Error al cargar la pagina
HDFC Bank Limited ADR ;HDB ;https://es.investing.com/equities/hdfc-bank ;TypeError: Cannot read property 'date' of undefined
GlaxoSmithKline PLC ;GLAXF ;https://es.investing.com/equities/glaxosmithkline?cid=51158 ;Error al cargar la pagina
Gazprom ADR ;OGZPY ;https://es.investing.com/equities/gazprom?cid=102876 ;Error al cargar la pagina
Bank of China Ltd ;BACHF ;https://es.investing.com/equities/bank-of-china-ss?cid=52401 ;Error al cargar la pagina
Bank of China Ltd ADR ;BACHY ;https://es.investing.com/equities/bank-of-china-ltd ;TypeError: Cannot read property 'date' of undefined
Nippon Telegraph and Telephone Corp ;NPPXF ;https://es.investing.com/equities/nippon-telegraph---telephone-corp?cid=53016 ;Error al cargar la pagina
Rivian Automotive Inc ;RIVN ;https://es.investing.com/equities/rivian-automotive ;TypeError: Cannot read property 'date' of undefined
Recruit Holdings Co Ltd ;RCRRF ;https://es.investing.com/equities/recruit-holdings?cid=961118 ;Error al cargar la pagina
Airbus Group SE ;EADSF ;https://es.investing.com/equities/eads?cid=53029 ;Error al cargar la pagina
Deutsche Telekom AG ;DTEGF ;https://es.investing.com/equities/dt-telekom?cid=51155 ;Error al cargar la pagina
PNC Financial Services Group Inc ;PNC ;https://es.investing.com/equities/pnc-fin-serv ;TypeError: Cannot read property 'date' of undefined
PNC Financial Services Group Inc Pp ADR ;PNC_pp ;https://es.investing.com/equities/pnc-financial-services-group-pp-adr ;TypeError: Cannot read property 'date' of undefined
Sberbank of Russia ;SBRCY ;https://es.investing.com/equities/sberbank-rossii-oao?cid=942163 ;Error al cargar la pagina
U.S. Bancorp Pref A ;USB_pa ;https://es.investing.com/equities/u.s.-bancorp-pa-adr ;TypeError: Cannot read property 'date' of undefined
U.S. Bancorp ;USB ;https://es.investing.com/equities/us-bancorp ;TypeError: Cannot read property 'date' of undefined
U.S. Bancorp Pref B ;USB_ph ;https://es.investing.com/equities/u.s.-bancorp-ph-adr ;TypeError: Cannot read property 'date' of undefined
U.S. Bancorp Pref F ;USB_pm ;https://es.investing.com/equities/u.s.-bancorp-pm-adr ;TypeError: Cannot read property 'date' of undefined
Equinor ASA ;STOHF ;https://es.investing.com/equities/statoil?cid=51095 ;Error al cargar la pagina
Tokyo Electron Ltd ;TOELF ;https://es.investing.com/equities/tokyo-electron-ltd.?cid=53017 ;Error al cargar la pagina
Bank of Nova Scotia ;BNS ;https://es.investing.com/equities/scotiabank?cid=20675 ;TypeError: Cannot read property 'date' of undefined
PetroChina Co Ltd Class H ;PCCYF ;https://es.investing.com/equities/petrochina?cid=51159 ;Error al cargar la pagina
JPMorgan Chase & Co Pref Series EE ;JPM_pc ;https://es.investing.com/equities/jpmorgan-chase-pref-ee ;TypeError: Cannot read property 'date' of undefined
China Petroleum & Chemical Corp ;SNPMF ;https://es.investing.com/equities/sinopec-corp?cid=1177698 ;Error al cargar la pagina
BNP Paribas SA ;BNPQF ;https://es.investing.com/equities/bnp-paribas?cid=53038 ;Error al cargar la pagina
BNP Paribas SA ADR ;BNPQY ;https://es.investing.com/equities/bnp-paribas-pk ;TypeError: Cannot read property 'date' of undefined
Truist Financial Corp ;TFC ;https://es.investing.com/equities/bb-t-corp ;TypeError: Cannot read property 'date' of undefined
Investor AB ;IVSBF ;https://es.investing.com/equities/investor?cid=52989 ;Error al cargar la pagina
Dassault Systemes SA ;DASTF ;https://es.investing.com/equities/dassault-system?cid=53049 ;Error al cargar la pagina
Great Wall Motor Co Ltd ;GWLLF ;https://es.investing.com/equities/greatwall-moto?cid=1177705 ;Error al cargar la pagina
ABB Ltd ;ABLZF ;https://es.investing.com/equities/abb-ltd?cid=52957 ;Error al cargar la pagina
NK Rosneft PAO ADR ;OJSCY ;https://es.investing.com/equities/rosneft?cid=1054337 ;Error al cargar la pagina
Mitsubishi UFJ Financial Group Inc ADR ;MUFG ;https://es.investing.com/equities/mits-ufj-financial-grp ;TypeError: Cannot read property 'date' of undefined
AXA SA ;AXAHF ;https://es.investing.com/equities/axa?cid=51153 ;Error al cargar la pagina
Bank Of Montreal ;BMO ;https://es.investing.com/equities/bank-of-montreal-financial-group?cid=20914 ;TypeError: Cannot read property 'date' of undefined
Atlas Copco AB Series B ;ATTLF ;https://es.investing.com/equities/atlas-copco-b?cid=25913 ;Error al cargar la pagina
Atlas Copco AB Class A ;ATLKF ;https://es.investing.com/equities/atlas-copco-a?cid=52970 ;Error al cargar la pagina
Postal Savings Bank of China Co Ltd ADR ;PSTVY ;https://es.investing.com/equities/postal-savings-bank-adr ;TypeError: Cannot read property 'date' of undefined
KDDI Corp ;KDDIF ;https://es.investing.com/equities/kddi-corp.?cid=53020 ;Error al cargar la pagina
Icici Bank Limited ADR ;IBN ;https://es.investing.com/equities/icici-bank ;TypeError: Cannot read property 'date' of undefined
NatWest Group PLC ;RBSPF ;https://es.investing.com/equities/royal-bank-of-scotland?cid=52814 ;Error al cargar la pagina
Natwest Group PLC ;NWG ;https://es.investing.com/equities/natwest-group-plc ;TypeError: Cannot read property 'date' of undefined
Lucid Group Inc ;LCID ;https://es.investing.com/equities/churchill-capital-iv ;TypeError: Cannot read property 'date' of undefined
Wal Mart de Mexico SAB de CV ;WMMVF ;https://es.investing.com/equities/wal-mart-v?cid=52704 ;Error al cargar la pagina
Bank Central Asia Tbk PT ADR ;PBCRY ;https://es.investing.com/equities/bank-central-asia-adr ;TypeError: Cannot read property 'date' of undefined
NetEase Inc ;NETTF ;https://es.investing.com/equities/netease-inc?cid=1177703 ;Error al cargar la pagina
Glencore PLC ;GLCNF ;https://es.investing.com/equities/glencore?cid=52803 ;Error al cargar la pagina
Zurich Insurance Group AG ;ZFSVF ;https://es.investing.com/equities/zurich-fin?cid=53056 ;Error al cargar la pagina
Capital One Financial Corp Ser G ;COF_pg ;https://es.investing.com/equities/capital-one-financial-corp-ser-g ;Error al cargar la pagina
Capital One Financial Corporation ;COF ;https://es.investing.com/equities/capital-one ;TypeError: Cannot read property 'date' of undefined
Capital One Financial Corp Ser H ;COF_ph ;https://es.investing.com/equities/capital-one-financial-corp ;TypeError: Cannot read property 'date' of undefined
UBS Group AG ;UBS ;https://es.investing.com/equities/ubs-group-n?cid=8132 ;TypeError: Cannot read property 'date' of undefined
MediaTek Inc ;MDTKF ;https://es.investing.com/equities/mediatek?cid=1178722 ;Error al cargar la pagina
DBS Group Holdings Ltd ADR ;DBSDY ;https://es.investing.com/equities/dbs-group-holdings-ltd ;TypeError: Cannot read property 'date' of undefined
Relx PLC ;RLXXF ;https://es.investing.com/equities/reed-elsevier?cid=22792 ;Error al cargar la pagina
Simon Property Group Inc Pref ;SPG_pj ;https://es.investing.com/equities/simon-property-group-inc-pref ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Stellantis NV ;STLA ;https://es.investing.com/equities/fiat?cid=941888 ;Error al cargar la pagina
Reckitt Benckiser Group PLC ;RBGPF ;https://es.investing.com/equities/reckitt-benckiser?cid=51067 ;Error al cargar la pagina
Xiaomi Corp ;XIACF ;https://es.investing.com/equities/xiaomi?cid=1095988 ;Error al cargar la pagina
AP Moeller - Maersk A/S ;AMKAF ;https://es.investing.com/equities/moeller-maersk-a?cid=53067 ;Error al cargar la pagina
Adidas AG ;ADDDF ;https://es.investing.com/equities/adidas-salomon?cid=1028152 ;Error al cargar la pagina
Banco Santander SA ADR ;SAN ;https://es.investing.com/equities/b-santander-s-a ;TypeError: Cannot read property 'date' of undefined
Dong Energy A/S ;DOGEF ;https://es.investing.com/equities/dong-energy-as?cid=1010647 ;Error al cargar la pagina
Bank of Communications Co Ltd ADR ;BCMXY ;https://es.investing.com/equities/bank-of-communications-co-ltd ;TypeError: Cannot read property 'date' of undefined
ING Group NV ADR ;ING ;https://es.investing.com/equities/ing-group-nv ;TypeError: Cannot read property 'date' of undefined
Hon Hai Precision Industry Co Ltd ADR ;HNHPF ;https://es.investing.com/equities/hon-hai-inds?cid=1097630 ;Error al cargar la pagina
Canadian Imperial Bank of Commerce ;CM ;https://es.investing.com/equities/cibc?cid=20176 ;TypeError: Cannot read property 'date' of undefined
Intesa Sanpaolo SpA PK ;ISNPY ;https://es.investing.com/equities/intesa-sanpaolo-spa-pk ;TypeError: Cannot read property 'date' of undefined
ENI SpA ADR PK ;EIPAF ;https://es.investing.com/equities/eni?cid=52954 ;Error al cargar la pagina
Safran SA ;SAFRF ;https://es.investing.com/equities/safran?cid=53027 ;Error al cargar la pagina
Bank of New York Mellon ;BK ;https://es.investing.com/equities/bk-of-ny ;TypeError: Cannot read property 'date' of undefined
Honda Motor Co Ltd ;HNDAF ;https://es.investing.com/equities/honda-motor-co.,-ltd.?cid=52993 ;Error al cargar la pagina
WuXi Biologics ;WXIBF ;https://es.investing.com/equities/wuxi-biologics?cid=1177700 ;Error al cargar la pagina
Bank Of Queensland Ltd ADR ;BKQNY ;https://es.investing.com/equities/bank-of-queensland-ltd-exch ;TypeError: Cannot read property 'date' of undefined
Mitsubishi Corp ;MSBHF ;https://es.investing.com/equities/mitsubishi-corp.?cid=942049 ;Error al cargar la pagina
Sumitomo Mitsui Financial Group Inc ;SMFNF ;https://es.investing.com/equities/sumitomo-mitsui-financial?cid=53008 ;Error al cargar la pagina
Sumitomo Mitsui Financial Group Inc ;SMFG ;https://es.investing.com/equities/sumitomo-mitsui-financial-group ;TypeError: Cannot read property 'date' of undefined
Volvo AB ;VOLVF ;https://es.investing.com/equities/volvo-b?cid=52916 ;Error al cargar la pagina
Lloyds Banking Group PLC ADR ;LYG ;https://es.investing.com/equities/lloyds-banking-group-plc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Motorola Solutions Inc ;MSI ;https://es.investing.com/equities/motorola-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Republic Services Inc ;RSG ;https://es.investing.com/equities/republic-services-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Aptiv PLC ;APTV ;https://es.investing.com/equities/delphi-automotive ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Qurate Retail Inc ;QRTEP ;https://es.investing.com/equities/qurate-retail-prf ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Pioneer Natural Resources Co ;PXD ;https://es.investing.com/equities/pioneer-natural-resources ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Experian PLC ;EXPGF ;https://es.investing.com/equities/experian-ord-usd0?cid=52934 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Experian plc PK ;EXPGY ;https://es.investing.com/equities/experian-plc-pk ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Bank Rakyat ;BKRKY ;https://es.investing.com/equities/bank-rakyat ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Takeda Pharmaceutical Co Ltd ADR ;TAK ;https://es.investing.com/equities/takeda-pharmaceutical-co-ltd ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Takeda Pharmaceutical Co Ltd ;TKPHF ;https://es.investing.com/equities/takeda-pharmaceutical-co.,-ltd.?cid=53012 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Partners Group Holding AG ;PGPHF ;https://es.investing.com/equities/partners-group?cid=51187 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Banco Santander Brasil SA ADR ;BSBR ;https://es.investing.com/equities/banco-santander-brazil-adr ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
STMicroelectronics NV ADR ;STM ;https://es.investing.com/equities/stmicroelectronics-nv ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Dell Technologies Inc ;DELL ;https://es.investing.com/equities/dell-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Baxter International Inc ;BAX ;https://es.investing.com/equities/baxter-intl ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Zijin Mining Group Co Ltd ;ZIJMF ;https://es.investing.com/equities/zijin-mining-group?cid=52269 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Zijin Mining Group Co Ltd ADR ;ZIJMY ;https://es.investing.com/equities/zijin-mining-adr ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Trade Desk Inc ;TTD ;https://es.investing.com/equities/trade-desk-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Fortescue Metals Group Ltd ;FSUMF ;https://es.investing.com/equities/fortescue-metals?cid=52797 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Fortescue Metals Group Ltd ADR ;FSUGY ;https://es.investing.com/equities/fortescue-metals-group-ltd ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
AutoZone Inc ;AZO ;https://es.investing.com/equities/autozone-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
China Pacific Insurance Group Co Ltd ADR ;CHPXY ;https://es.investing.com/equities/china-pacific-insurance-adr ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Saipem SpA ADR ;SAPMY ;https://es.investing.com/equities/saipem-spa ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Nordea Bank Abp ADR ;NRDBY ;https://es.investing.com/equities/nordea-bank-ab ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Zscaler Inc ;ZS ;https://es.investing.com/equities/zscaler-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
L3Harris Technologies Inc ;LHX ;https://es.investing.com/equities/harris-corporation ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Alcon AG ;ALC ;https://es.investing.com/equities/alcon-ag?cid=1128804 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Sempra Energy ;SRE ;https://es.investing.com/equities/sempra-energy ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Fanuc Corporation ;FANUY ;https://es.investing.com/equities/fanuc-corporation ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Prudential Financial Inc ;PRU ;https://es.investing.com/equities/prudential-fin ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Dupont De Nemours Inc ;DD ;https://es.investing.com/equities/du-pont ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Vodafone Group PLC ADR ;VODPF ;https://es.investing.com/equities/vodafone?cid=52758 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Nutrien Ltd ;NTR ;https://es.investing.com/equities/nutrien ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Muenchener Rueckver Ges ;MURGY ;https://es.investing.com/equities/muenchener-rueckver-ges ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Barclays PLC ADR ;BCS ;https://es.investing.com/equities/barclays-plc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Barclays PLC ADR ;BCLYF ;https://es.investing.com/equities/barclays?cid=52776 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Hexagon AB ADR ;HXGBY ;https://es.investing.com/equities/hexagon-adr ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Rockwell Automation Inc ;ROK ;https://es.investing.com/equities/rockwell-automat ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Old Dominion Freight Line Inc ;ODFL ;https://es.investing.com/equities/old-dominion-freight-line-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Dow Inc ;DOW ;https://es.investing.com/equities/dow-chemical ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
SBA Communications Corp ;SBAC ;https://es.investing.com/equities/sba-communications-corp ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Parker-Hannifin Corporation ;PH ;https://es.investing.com/equities/parkerhannifin ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
PPG Industries Inc ;PPG ;https://es.investing.com/equities/ppg-industries ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
eBay Inc ;EBAY ;https://es.investing.com/equities/ebay-inc ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
SVB Financial Group ;SIVB ;https://es.investing.com/equities/svb-financial-gro ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
The Travelers Companies Inc ;TRV ;https://es.investing.com/equities/the-travelers-co ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
ANTA Sports Products Ltd ;ANPDF ;https://es.investing.com/equities/anta-sports?cid=1177704 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
ANTA Sports Products Ltd ADR ;ANPDY ;https://es.investing.com/equities/anta-sports-adr ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Danone PK ;DANOY ;https://es.investing.com/equities/danone-pk ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Cap Gemini SA ;CAPMF ;https://es.investing.com/equities/cap-gemini?cid=53033 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Capgemini SE ADR ;CGEMY ;https://es.investing.com/equities/cap-gemini-sa ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Seven & i Holdings Co Ltd ;SVNDF ;https://es.investing.com/equities/seven---i-holdings-co.,-ltd.?cid=53001 ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
Seven & i Holdings Co Ltd ADR ;SVNDY ;https://es.investing.com/equities/seven---i-holdings-co-ltd ;Error: Evaluation failed: TypeError: Cannot read properties of null (reading 'href')
    at __puppeteer_evaluation_script__:5:52
